"feature","mean_decrease_accuracy"
"w30d_late_fee_paid",36.9074224856431
"customer_category_id",33.5520361436565
"w30d_principal_paid",29.8144002695425
"w30d_days_since_last_payment",27.6066489202548
"w30d_principal_recovery_rate",27.0317603911892
"w30d_days_to_first_payment",26.6962136837843
"w30d_payment_total",25.4460690445301
"w30d_payment_gap",20.2924074319895
"w30d_interest_paid",20.0058905313465
"w30d_admin_fee_paid",19.954383623465
"loan_administrative_fee",17.8700922019707
"loan_amount",17.7556415848688
"contract_charge_rate",16.7618851642107
"loan_interest",16.7094366378077
"loan_charge",15.4677160745836
"contract_charge_per_day",15.2767521258928
"contract_amount_per_day",14.6048453097977
"loan_apr",14.5229268179551
"loan_period",13.6636188727036
"w30d_total_paid_to_due_ratio",13.0055948214581
"w30d_scheduled_due_principal",11.5521006993946
"w30d_days_to_first_payment_missing",10.4407463241352
"w30d_payment_count",10.3252784140647
"customer_age_at_loan_days",9.99535297453675
"w30d_days_since_last_payment_missing",9.88999926815984
"w30d_scheduled_due_interest",9.40973340369837
"w30d_scheduled_due_total",8.99438380016947
"sas_credit_score_value",8.50794077663127
"w30d_scheduled_due_admin_fee",7.96791963877362
"loan_created_year",7.09481067148237
"customer_age",6.33119164745232
"sas_credit_score",6.2972865806272
"sas_credit_score_missing",5.47661730593201
"w30d_due_installments",4.98183212737464
"w30d_total_paid_to_due_ratio_missing",4.22052560362719
"loan_schedule",3.96299211631964
"customer_gender",2.43133101329031
"w30d_charge_paid",1.41776058875618
"w30d_ext_completed_count",1.00125234864352
"w30d_ext_price",1.00125234864352
"loan_insurance",0
"customer_income",0
"customer_dependents",0
"w30d_penalty_paid",0
"loan_schedule_type",0
"customer_home_status",0
"customer_work_status",0
"customer_work_activities",0
"customer_region",0
"w30d_ext_period_sum",-0.210047865614163
"w30d_ext_request_count",-0.653299540069292
"w30d_extension_payment_count",-0.987504959650449
"w30d_extension_payment_total",-1.07424347600626
"loan_creditline_mode",-1.12845085301554
"loan_product_id",-1.91272262196039
"loan_created_month",-2.55235058431147
